File Name	File Extension	File Size	MD5	SHA-256	Path
ACPI.sys_driver.fffff88000e00000.sys	sys	327.17 KBs	12a06df3d797d7ecb0ac00649b3652df	7c2bec59f04a0d5ee063a64cee6e6fdfebe3ca959b773a005aa7a8d7b94df614	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\moddump\ACPI.sys_driver.fffff88000e00000.sys
AgileVpn.sys_driver.fffff88004a8b000.sys	sys	60.42 KBs	6fdcc3b4624a229b08cb8e7138265393	a5b5bd66534f91a62503cc22fcabc22844ec6b171a494f83ea3880bba824742e	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\moddump\AgileVpn.sys_driver.fffff88004a8b000.sys
BATTC.SYS_driver.fffff88000da5000.sys	sys	20.99 KBs	588367a56b7e89547ac14a78d49fb8de	14af11bfa028d410e6b442e946a4480ae834a1161646afbe6616f242c18a8e38	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\moddump\BATTC.SYS_driver.fffff88000da5000.sys
Beep.SYS_driver.fffff8800165d000.sys	sys	6.66 KBs	35a3d5458365cede52d5444d57ae806a	d67efa3e9bd999354b5a97742c4c3bfa96c77e5ad2f09829c747164d49703333	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\moddump\Beep.SYS_driver.fffff8800165d000.sys
DumpIt.exe_796_DumpIt.exe_3fa48060_1340000	exe	199.68 KBs	f18a291a5a52de47ca879707676ef9a8	18ddfc9aaa8e668b5a36cd58e30abadd7edc705176b39e9a30f03d17eb0d43c3	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\DumpIt.exe_796_DumpIt.exe_3fa48060_1340000
DumpIt.exe_796_ntdll.dll_3fa48060_77c90000	exe	1.71 MBs	71006387b819b621d523c25e4ada8e6b	6a158d295df4503bad7654f89c04d505240eced0961b5402e57e1fdd9e4a82dd	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\DumpIt.exe_796_ntdll.dll_3fa48060_77c90000
DumpIt.exe_796_wow64.dll_3fa48060_75480000	exe	243.2 KBs	26170c135f6cd6be6b3be672cf9521d3	969597cbb82d3f2c5e666d55580b591f93bc9acb5b8dedfb42b45ffa1fb675e6	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\DumpIt.exe_796_wow64.dll_3fa48060_75480000
DumpIt.exe_796_wow64cpu.dll_3fa48060_75410000	exe	13.31 KBs	67f5ab347aab8cef2bb96fcec1921e1c	366f1795862eaeb82206735fce4ff90c5d99a450053ba5e3b63679bfc4249289	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\DumpIt.exe_796_wow64cpu.dll_3fa48060_75410000
DumpIt.exe_796_wow64win.dll_3fa48060_75420000	exe	361.98 KBs	98ba5b2b889810fffcde991ec65821ac	2e7af86bf0de728f3d42479b22db8683f66ca9d5d85691f1c388ca9411be82cf	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\DumpIt.exe_796_wow64win.dll_3fa48060_75420000
SearchFilterHo_1720_ADVAPI32.dll_3fccea60_7fefe390000	dll	877.06 KBs	7f644f471c2be3ac91f58fef88384a07	e417dd3ddf43891cd2460e70a73caf42889e15093a02c54c9905c61b4684d1b5	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\SearchFilterHo_1720_ADVAPI32.dll_3fccea60_7fefe390000
SearchFilterHo_1720_CLBCatQ.DLL_3fccea60_7fefe650000	dll	607.74 KBs	6d5003062c304a1d1146f5562c6d1803	19881583137018ff512ba274febf46ec489d19b17250dd889dce76f3b682972c	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\SearchFilterHo_1720_CLBCatQ.DLL_3fccea60_7fefe650000
SearchFilterHo_1720_CRYPTBASE.dll_3fccea60_7fefd810000	dll	44.03 KBs	c40096cc5af007137a6be612c95d15dd	1d10ecfb55e8667da8c9e56554a2031ee0a2289a4ef203ea2e4e32d856131132	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\SearchFilterHo_1720_CRYPTBASE.dll_3fccea60_7fefd810000
SearchFilterHo_1720_CRYPTSP.dll_3fccea60_7fefd1e0000	dll	79.87 KBs	8f448ef2143dc31dbc182a0e56add054	acdb768bed7c7a97bc50429065f564e5b0cd7e82649280663096076b363f71c8	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\SearchFilterHo_1720_CRYPTSP.dll_3fccea60_7fefd1e0000
SearchFilterHo_1720_GDI32.dll_3fccea60_7fefe740000	dll	403.97 KBs	818dcf61dd335ca825cde3e788f3eb3b	63e67eba74e8b65f9946ef3fae317a1218e0f42e745b4fbd3975791b9585ba3a	C:\xavier\xavier_framework\export\memory_analysis\2022_01_16_08_54_28\dlldump\SearchFilterHo_1720_GDI32.dll_3fccea60_7fefe740000
