#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: filescan
# Plugin Description: Pool scanner for file objects
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" filescan --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Offset(P)            #Ptr   #Hnd Access Name
------------------ ------ ------ ------ ----
0x000000013c896480      1      1 R----- \Device\HarddiskVolume1\System Volume Information\{3808876b-c176-4e48-b7ae-04046e6cc752}
0x000000013c896f20     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013c897050      3      1 RW-r-- \Device\clfsTxfLog
0x000000013cac9960      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013caef830     33      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013caefbe0     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cbf4450      8      1 R--r-d \Device\HarddiskVolume1\Windows\ehome\malgunmc.ttf
0x000000013cbf45a0     16      0 R--r-d \Device\HarddiskVolume1\Windows\Fonts\dosapp.fon
0x000000013cbf4a80      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cccd790     33      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013ccd8b40     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cd378c0      9      0 R--rwd \Device\HarddiskVolume1\Windows\System32\ulib.dll
0x000000013cdd84c0      2      1 RWDrwd \Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
0x000000013cdd8f20      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000013cdd94c0     12      0 R--rwd \Device\HarddiskVolume1\Windows\Fonts\ARIALNI.TTF
0x000000013cdd9710     13      0 R--rwd \Device\HarddiskVolume1\Windows\Fonts\ARIALNB.TTF
