#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: userhandles
# Plugin Description: Dump the USER handle tables
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" userhandles --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
**************************************************
SharedInfo: 0xfffff96000385720, SessionId: 0 Shared delta: 0
aheList: 0xfffff900c0400000, Table size: 0x2000, Entry size: 0x18

Object(V)                      Handle bType                 Flags    Thread  Process
------------------ ------------------ -------------------- -------- -------- -------
0xfffff900c05824b0            0x10001 TYPE_MONITOR            0     -------- -
0xfffff900c013c0f0            0x10002 TYPE_WINDOW             64      364    364
0xfffff900c0097e30            0x10003 TYPE_CURSOR             0     -------- 364
0xfffff900c03a0b90            0x10004 TYPE_WINDOW             0       364    364
0xfffff900c00d6c20            0x10005 TYPE_CURSOR             0     -------- 364
0xfffff900c03a0e60            0x10006 TYPE_WINDOW             0       364    364
0xfffff900c00d6af0            0x10007 TYPE_CURSOR             0     -------- 364
0xfffff900c03a1070            0x10008 TYPE_WINDOW             0       364    364
0xfffff900c00bc8d0            0x10009 TYPE_CURSOR             0     -------- 364
0xfffff900c03d0b90            0x1000a TYPE_WINDOW             0       364    364
0xfffff900c00c7a40            0x1000b TYPE_CURSOR             0     -------- 364
0xfffff900c03d0d90            0x1000c TYPE_WINDOW             0       364    364
0xfffff900c00bbf70            0x1000d TYPE_CURSOR             0     -------- 364
0xfffff900c03d0fa0            0x1000e TYPE_WINDOW             0       364    364
0xfffff900c00bbaf0            0x1000f TYPE_CURSOR             0     -------- 364
0xfffff900c0600b90            0x10010 TYPE_WINDOW             0       364    364
0xfffff900c00bb9c0            0x10011 TYPE_CURSOR             0     -------- 364
0xfffff900c0600d90            0x10012 TYPE_WINDOW             0       364    364
0xfffff900c00bb890            0x10013 TYPE_CURSOR             0     -------- 364
0xfffff900c0600fa0            0x10014 TYPE_WINDOW             0       364    364
0xfffff900c00bb7f0            0x10015 TYPE_CURSOR             0     -------- 364
0xfffff900c0144010            0x10016 TYPE_WINDOW             64      364    364
0xfffff900c00b98d0            0x10017 TYPE_CURSOR             0     -------- 364
0xfffff900c1c00b90            0x10018 TYPE_WINDOW             0       364    364
0xfffff900c00b9830            0x10019 TYPE_CURSOR             0     -------- 364
0xfffff900c1c00d90            0x1001a TYPE_WINDOW             0       364    364
0xfffff900c00d7580            0x1001b TYPE_CURSOR             0     -------- 364
0xfffff900c1cc0b90            0x1001c TYPE_WINDOW             0       364    364
0xfffff900c00d74e0            0x1001d TYPE_CURSOR             0     -------- 364
0xfffff900c1cc0d90            0x1001e TYPE_WINDOW             0       364    364
0xfffff900c00d7440            0x1001f TYPE_CURSOR             0     -------- 364
0xfffff900c1e00b90            0x10020 TYPE_WINDOW             0       364    364
0xfffff900c00d73a0            0x10021 TYPE_CURSOR             0     -------- 364
0xfffff900c1e00d90            0x10022 TYPE_WINDOW             0       364    364
0xfffff900c00d88d0            0x10023 TYPE_CURSOR             0     -------- 364
0xfffff900c1c01590            0x10024 TYPE_WINDOW             0       936    936
0xfffff900c00da5d0            0x10025 TYPE_CURSOR             0     -------- 364
0xfffff900c1e01490            0x10026 TYPE_WINDOW             0       860    860
0xfffff900c00da350            0x10027 TYPE_CURSOR             0     -------- 364
0xfffff900c00db7e0            0x10029 TYPE_CURSOR             0     -------- 364
0xfffff900c1c018e0            0x1002a TYPE_INPUTCONTEXT       0       936    936
0xfffff900c00ddb30            0x1002b TYPE_CURSOR             0     -------- 364
0xfffff900c00dd560            0x1002d TYPE_CURSOR             0     -------- 364
0xfffff900c00dd2e0            0x1002f TYPE_CURSOR             0     -------- 364
0xfffff900c1cc1080            0x20030 TYPE_INPUTCONTEXT       0       1160   1160
0xfffff900c00df6f0            0x10031 TYPE_CURSOR             0     -------- 364
0xfffff900c00df470            0x10033 TYPE_CURSOR             0     -------- 364
0xfffff900c1c01a30            0x10034 TYPE_INPUTCONTEXT       0       936    936
0xfffff900c00bb930            0x10035 TYPE_KBDFILE            0     -------- -
0xfffff900c1c06690            0x20036 TYPE_WINDOW             0       112    112
0xfffff900c01422b0            0x10037 TYPE_KBDLAYOUT          0     -------- -
0xfffff900c1c019c0            0x10038 TYPE_INPUTCONTEXT       0       112    112
0xfffff900c013c010            0x30039 TYPE_CURSOR             0     -------- 364
0xfffff900c06012a0            0x1003a TYPE_INPUTCONTEXT       0       1304   1304
0xfffff900c01bac20            0x1003b TYPE_CURSOR             0     -------- 364
0xfffff900c1e01a70            0x1003c TYPE_INPUTCONTEXT       0       1332   1332
0xfffff900c01b8c20            0x1003d TYPE_CURSOR             0     -------- 364
0xfffff900c1c01b10            0x1003e TYPE_INPUTCONTEXT       0       1444   1444
0xfffff900c011cc60            0x1003f TYPE_CURSOR             0     -------- 364
0xfffff900c1c01cd0            0x20040 TYPE_INPUTCONTEXT       0       1636   1636
0xfffff900c01bb8d0            0x10041 TYPE_CURSOR             0     -------- 364
0xfffff900c1e01ae0            0x10042 TYPE_INPUTCONTEXT       0       1332   1332
0xfffff900c01bb830            0x10043 TYPE_CURSOR             0     -------- 364
0xfffff900c0140e30            0x10045 TYPE_CURSOR             0     -------- 364
0xfffff900c1c01bf0            0x10046 TYPE_INPUTCONTEXT       0       1520   1520
0xfffff900c0141190            0x10047 TYPE_CURSOR             0     -------- 364
0xfffff900c01a8500            0x10049 TYPE_CURSOR             0     -------- 364
0xfffff900c1c01c60            0x1004a TYPE_INPUTCONTEXT       0       1576   1576
0xfffff900c01453e0            0x1004b TYPE_CURSOR             0     -------- 364
0xfffff900c0145340            0x1004d TYPE_CURSOR             0     -------- 364
0xfffff900c0157580            0x1004f TYPE_CURSOR             0     -------- 364
0xfffff900c01464e0            0x10051 TYPE_CURSOR             0     -------- 364
0xfffff900c1c01db0            0x10052 TYPE_INPUTCONTEXT       0       1576   1576
0xfffff900c0146350            0x10053 TYPE_CURSOR             0     -------- 364
0xfffff900c1c020a0            0x10054 TYPE_WINDOW             0       1576   1576
0xfffff900c01dec50            0x10055 TYPE_CURSOR             0     -------- 364
0xfffff900c1cc10f0            0x10056 TYPE_INPUTCONTEXT       0       1952   1952
0xfffff900c0186c20            0x10057 TYPE_CURSOR             0     -------- 364
0xfffff900c1e01ca0            0x10058 TYPE_INPUTCONTEXT       0       980    980
0xfffff900c0186650            0x10059 TYPE_CURSOR             0     -------- 364
0xfffff900c01863d0            0x1005b TYPE_CURSOR             0     -------- 364
0xfffff900c1e01d80            0x2005c TYPE_INPUTCONTEXT       0       1080   1080
0xfffff900c0186330            0xa005d TYPE_CURSOR             0     -------- 364
0xfffff900c1e01d10            0x1005e TYPE_INPUTCONTEXT       0       1080   1080
