Volatility Foundation Volatility Framework 2.6
Offset(P)            #Ptr   #Hnd Access Name
0x000000003e85bf20     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wwapi.dll
0x000000003e85e410     19      1 RWD--- \Device\HarddiskVolume2\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\tmp.edb
0x000000003e85e8a0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\AdapterTroubleshooter.exe
0x000000003e85f840      1      1 ------ \Device\Afd\Endpoint
0x000000003e860070      1      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Crypto\RSA\MachineKeys\325e532bbdc789da6ab5e9368c8fd719_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x000000003e860d50      1      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Crypto\RSA\MachineKeys\395c313ac58a1378ef8960b5fc447dd6_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x000000003e861070      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\QAGENT.DLL
0x000000003e861d00      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\cryptnet.dll
0x000000003e862dd0      1      1 RW---- \Device\HarddiskVolume2\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\edb.log
0x000000003e862f20      1      0 R--r-- \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\AppData\Roaming\PeerNetworking\8447695ec9feca67deb251c3d402899d.sst
0x000000003e863940      6      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Known Folders API Service.evtx
0x000000003e8652d0     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\Microsoft\Protect\S-1-5-18\User\411ac4c0-623b-4bbb-881d-1d479dac34fa
0x000000003e865a20      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Music\desktop.ini
0x000000003e8661b0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e866590      2      0 R--r-- \Device\HarddiskVolume2\Windows\ServiceProfiles\LocalService\AppData\Roaming\Microsoft\Crypto\RSA\S-1-5-19\7e22207fe9846926e18c29d3e675240e_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x000000003e8668b0      1      0 R--r-- \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Recent\CustomDestinations\5afe4de1b92fc382.customDestinations-ms
0x000000003e866f20      2      1 R--rwd \Device\HarddiskVolume2\Users\SmartNet\Links
0x000000003e8689a0      1      1 RW-rwd \Device\HarddiskVolume2\Users\SmartNet\AppData\Local\Microsoft\Windows\Explorer\thumbcache_32.db
0x000000003e86a0f0    101      1 ------ \Device\Afd\Endpoint
0x000000003e86b310      3      0 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.ci
0x000000003e86b5e0     16      1 RW-rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.wid
0x000000003e86d190     16      0 RW-r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\INDEX.001
0x000000003e86d2e0      1      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.ci
0x000000003e86d9a0      1      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.dir
0x000000003e86f570     16      0 RW-r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Search\Data\Applications\Windows\Projects\SystemIndex\Indexer\CiFiles\00010004.dir
0x000000003e870e00     19      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e871600      1      1 RW---- \Device\HarddiskVolume2\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\db.mdb
0x000000003e871750      8      0 RW---- \Device\HarddiskVolume2\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\db.mdb
0x000000003e872380      1      0 R--r-- \Device\HarddiskVolume2\Windows\SERVIC~2\LOCALS~1\AppData\Roaming\PEERNE~1\633E84~1.HOM\397786~1\grouping\edb.chk
0x000000003e872820      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\drt.dll
0x000000003e87e070      1      1 R--rw- \Device\HarddiskVolume2\Users\SmartNet\Downloads\DumpIt
0x000000003e87ea40      1      1 R--r-d \Device\HarddiskVolume2\Windows\Fonts\StaticCache.dat
0x000000003e8a06d0      1      1 ------ \Device\Afd\Endpoint
0x000000003e8a0b20     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\keyiso.dll
0x000000003e8a2790      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_5.82.7601.17514_none_a4d6a923711520a9
0x000000003e8a2f20      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Saved Games\desktop.ini
0x000000003e8a95c0      1      0 R--r-- \Device\HarddiskVolume2\Windows\System32\Microsoft\Protect\S-1-5-19\Preferred
0x000000003e8a9710      1      1 R--rw- \Device\HarddiskVolume2\Windows\winsxs\amd64_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7601.17514_none_fa396087175ac9ac
0x000000003e8aa070      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Videos\desktop.ini
0x000000003e8aa8a0      1      0 R--r-- \Device\HarddiskVolume2\Windows\winsxs\FileMaps\$$.cdf-ms
0x000000003e8aac40      1      0 R--rw- \Device\HarddiskVolume2\Users\SmartNet\AppData\Local\Microsoft\Windows\1033\StructuredQuerySchema.bin
0x000000003e8abf20      1      0 R--rwd \Device\HarddiskVolume2\Users\Alissa Simpson\Searches\desktop.ini
0x000000003e8ac370      1      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Crypto\Keys\075b3649dfcfbf4419375e74424ddab2_b6e5f7b3-603d-49bb-9907-2d447987b31a
0x000000003e8ad2e0      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\IlsCache\ilrcache.xml
0x000000003e8af350     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wscui.cpl
0x000000003e8b09c0      2      1 ------ \Device\Afd\Endpoint
0x000000003e8b12d0      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Mahjong.lnk
0x000000003e8b1420      1      0 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Games\Minesweeper.lnk
0x000000003e8b26b0      2      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e8b2a20      1      0 R--rw- \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Private Character Editor.lnk
0x000000003e8b2c50     15      0 ------ \Device\HarddiskVolume2\Windows\System32\C_950.NLS
0x000000003e8b2ea0      1      1 -W-rw- \Device\HarddiskVolume2\Windows\debug\WIA\wiatrace.log
0x000000003e8b3280      2      2 RW-rwd \Device\HarddiskVolume2\Users\SmartNet\AppData\Local\Microsoft\Windows\Explorer\thumbcache_256.db
0x000000003e8b57c0      1      1 R--rw- \Device\HarddiskVolume2\Windows\System32
0x000000003e8b63e0      3      0 RW-rwd \Device\HarddiskVolume2\$Directory
0x000000003e8b97d0     13      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wiatrace.dll
0x000000003ea00bb0      4      0 R--r-d \Device\HarddiskVolume2\Windows\System32\PortableDeviceApi.dll
0x000000003ea01510      2      1 ------ \Device\Afd\Endpoint
0x000000003ea01cc0      2      1 ------ \Device\Afd\Endpoint
0x000000003ea02320     16      0 R--r-- \Device\HarddiskVolume2\Windows\inf\netsstpt.PNF
0x000000003ea02770      3      1 R--rwd \Device\HarddiskVolume2\Windows\System32\wbem\MOF
0x000000003ea02b20      1      0 R--rwd \Device\HarddiskVolume2\Program Files (x86)\desktop.ini
0x000000003ea02dd0     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\ntfs.sys
0x000000003ea02f20      6      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\WmiDcPrv.dll
0x000000003ea03700     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Program-Inventory.evtx
0x000000003ea03a70      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\ac4e5acf-89f7-4220-ba21-81ee183975e2
0x000000003ea04050     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\cng.sys
0x000000003ea04350     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Application-Experience%4Problem-Steps-Recorder.evtx
0x000000003ea04740      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Power Efficiency Diagnostics\AnalyzeSystem
0x000000003ea04cd0     14      0 R--r-d \Device\HarddiskVolume2\Windows\System32\stdole2.tlb
0x000000003ea04e20      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\PerfTrack\BackgroundConfigSurveyor
0x000000003ea054d0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\ac668097-4d6b-4093-ac14-014c09dbf820
0x000000003ea06640      2      1 ------ \Device\Afd\Endpoint
0x000000003ea06db0      2      1 ------ \Device\Afd\Endpoint
0x000000003ea07520     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\msxml6.dll
0x000000003ea08200     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ntdsapi.dll
0x000000003ea089e0     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\sscore.dll
0x000000003ea08f20     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\VBoxGuest.sys
0x000000003ea095f0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wpdbusenum.dll
0x000000003ea09dc0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\b0cbab43-44fc-469b-a4ce-87426761fdce
0x000000003ea0a070     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\netmsg.dll
0x000000003ea0a3a0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Diagnosis\Scheduled
0x000000003ea0ab30     11      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\WinMgmtR.dll
0x000000003ea0b6f0      2      1 ------ \Device\Afd\Endpoint
0x000000003ea0bea0      2      1 ------ \Device\Afd\Endpoint
0x000000003ea0da70     14      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\ndis.sys
0x000000003ea0dc90      2      1 ------ \Device\Afd\Endpoint
0x000000003ea0e450      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-1e4-0
0x000000003ea0ed00      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\c7cf5c83-942c-4add-9ec3-24fb232082bd
0x000000003ea0ef20     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\RemoteAssistance\RemoteAssistanceTask
0x000000003ea0f480      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\resutils.dll
0x000000003ea0fbc0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Registry\RegIdleBackup
0x000000003ea10570      2      1 ------ \Device\Afd\Endpoint
0x000000003ea10ce0      2      1 ------ \Device\Afd\Endpoint
0x000000003ea111c0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\ca4b8ff2-a4d2-4d88-a52e-3a5bdaf7f56e
0x000000003ea115c0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\cb3d64bf-c0c9-45ff-bfb0-ff1a8f680186
0x000000003ea11d10      1      1 ------ \Device\NamedPipe\srvsvc
0x000000003ea124e0      5      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\wbemprox.dll
0x000000003ea12890      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\clusapi.dll
0x000000003ea14c90     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\diagperf.dll
0x000000003ea153f0     17      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\lsm.exe.mui
0x000000003ea15960     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\compbatt.sys
0x000000003ea161a0     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\volmgr.sys
0x000000003ea162f0      7      0 R--r-d \Device\HarddiskVolume2\Windows\System32\browser.dll
0x000000003ea16500      3      0 R--r-d \Device\HarddiskVolume2\Windows\System32\ssdpapi.dll
0x000000003ea16c70      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\srvsvc.dll
0x000000003ea17440     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\volmgrx.sys
0x000000003ea19340      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\MemoryDiagnostic\CorruptionDetector
0x000000003ea1a420      1      1 R--rw- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories
0x000000003ea1a7b0     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\tcpip.sys
0x000000003ea1b400      1      1 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\KernelBase.dll.mui
0x000000003ea1bc10     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\FWPKCLNT.SYS
0x000000003ea1bd60     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\spldr.sys
0x000000003ea1c170      3      1 R--rwd \Device\HarddiskVolume2\Windows\System32\config\systemprofile\AppData\Roaming\Microsoft\SystemCertificates\My
0x000000003ea1daa0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\tdh.dll
0x000000003ea22210     12      0 R--r-d \Device\HarddiskVolume2\Windows\System32\en-US\tquery.dll.mui
0x000000003ea244e0      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\cee64558-e1a7-4d9d-80a7-2001912be5b5
0x000000003ea25740     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\SoftwareProtectionPlatform\SvcRestartTask
0x000000003ea26c70     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\vmstorfl.sys
0x000000003ea275c0     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\volsnap.sys
0x000000003ea287e0      2      1 ------ \Device\NamedPipe\
0x000000003ea2a320     17      0 R--r-- \Device\HarddiskVolume2\Windows\System32\catroot2\edb.log
0x000000003ea2a580     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\rdyboost.sys
0x000000003ea2a8f0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Maintenance\WinSAT
0x000000003ea2acd0      2      1 R--rwd \Device\HarddiskVolume2\Users\SmartNet\AppData\Roaming\Microsoft\Windows\Start Menu
0x000000003ea2af20      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Media Center\PBDADiscoveryW2
0x000000003ea2c500      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\da41de71-8431-42fb-9db0-eb64a961dead
0x000000003ea2c7a0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\wbemcore.dll
0x000000003ea2ca40      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\cfce87c8-ef22-4de5-a680-7b44dffce8f9
0x000000003ea2f5b0      2      1 ------ \Device\Afd\Endpoint
0x000000003ea2f6e0     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\mup.sys
0x000000003ea34df0     18      1 RW-r-- \Device\HarddiskVolume2\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-StoreMgr%4Operational.evtx
0x000000003ea34f20      2      1 ------ \Device\NamedPipe\
0x000000003ea35f20     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\hwpolicy.sys
0x000000003ea36d10      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\dd9f510c-95f4-499a-90c8-bac5bc372ff4
0x000000003ea37350     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\fvevol.sys
0x000000003ea38dd0      8      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\esscli.dll
0x000000003ea39500      2      1 ------ \Device\Afd\Endpoint
0x000000003ea399d0     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\disk.sys
0x000000003ea3c380     15      0 R--r-- \Device\HarddiskVolume2\Windows\System32\drivers\Classpnp.sys
0x000000003ea3ccb0      2      1 ------ \Device\Afd\Endpoint
0x000000003ea3ea20     16      0 R--r-- \Device\HarddiskVolume2\Windows\System32\catroot2\edb.chk
0x000000003ea3f2c0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Windows Filtering Platform\BfeOnServiceStartTypeChange
0x000000003ea41dd0      1      0 R--r-- \Device\HarddiskVolume2\ProgramData\Microsoft\Windows Defender\Scans\History\Results\Resource\{608A0B1C-8E90-4C9C-9DD8-EBA5B9568D64}
0x000000003ea427e0      2      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\Bluetooth\UninstallDeviceTask
0x000000003ea42b50      2      0 R--r-- \Device\HarddiskVolume2\Windows\System32\LogFiles\Scm\e22a8667-f75b-4ba9-ba46-067ed4429de8
0x000000003ea46070     10      0 R--r-d \Device\HarddiskVolume2\Windows\System32\d3d10_1.dll
0x000000003ea4a070     15      0 R--r-d \Device\HarddiskVolume2\Windows\System32\wbem\wbemsvc.dll
0x000000003ea4a580      9      0 R--r-d \Device\HarddiskVolume2\Windows\System32\netcfgx.dll
0x000000003ea4ab80     16      0 R--r-d \Device\HarddiskVolume2\Windows\System32\Tasks\Microsoft\Windows\RAC\RacTask
