#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: moddump
# Plugin Description: Dump a kernel driver to an executable file sample
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" moddump --profile=Win7SP1x64 --dump-dir "C:\xavier\xavier_framework\export\memory_analysis\2022_01_17_20_08_42\moddump
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Module Base        Module Name          Result
------------------ -------------------- ------
0xfffff80002a48000 ntoskrnl.exe         OK: driver.fffff80002a48000.sys
0xfffff88003c3e000 csc.sys              OK: driver.fffff88003c3e000.sys
0xfffff88003800000 bthport.sys          OK: driver.fffff88003800000.sys
0xfffff88005071000 rdpdr.sys            OK: driver.fffff88005071000.sys
0xfffff80000bb7000 kdcom.dll            OK: driver.fffff80000bb7000.sys
0xfffff88003cc1000 dfsc.sys             OK: driver.fffff88003cc1000.sys
0xfffff880046fe000 peauth.sys           OK: driver.fffff880046fe000.sys
0xfffff88001803000 tcpip.sys            OK: driver.fffff88001803000.sys
0xfffff88004ce4000 Dxapi.sys            OK: driver.fffff88004ce4000.sys
0xfffff88001245000 RDPCDD.sys           OK: driver.fffff88001245000.sys
0xfffff88001507000 Fs_Rec.sys           OK: driver.fffff88001507000.sys
0xfffff88000fe8000 vsock.sys            OK: driver.fffff88000fe8000.sys
0xfffff880051ea000 asyncmac.sys         OK: driver.fffff880051ea000.sys
0xfffff88000ec9000 WMILIB.SYS           OK: driver.fffff88000ec9000.sys
0xfffff88003e00000 wfplwf.sys           OK: driver.fffff88003e00000.sys
0xfffff880040aa000 E1G6032E.sys         OK: driver.fffff880040aa000.sys
0xfffff88000cec000 mcupdate.dll         OK: driver.fffff88000cec000.sys
0xfffff88003d72000 vm3dmp.sys           OK: driver.fffff88003d72000.sys
0xfffff880010cd000 storport.sys         OK: driver.fffff880010cd000.sys
0xfffff880040e0000 CmBatt.sys           OK: driver.fffff880040e0000.sys
0xfffff8800160f000 ndis.sys             OK: driver.fffff8800160f000.sys
0xfffff880011f0000 discache.sys         OK: driver.fffff880011f0000.sys
0xfffff88004cd1000 dump_dumpfve.sys     OK: driver.fffff88004cd1000.sys
0xfffff96000600000 cdd.dll              OK: driver.fffff96000600000.sys
0xfffff88001193000 fileinfo.sys         OK: driver.fffff88001193000.sys
0xfffff88004c74000 drmk.sys             OK: driver.fffff88004c74000.sys
0xfffff880042d5000 ks.sys               OK: driver.fffff880042d5000.sys
0xfffff8800399c000 BTHUSB.sys           OK: driver.fffff8800399c000.sys
0xfffff88004d36000 rspndr.sys           OK: driver.fffff88004d36000.sys
0xfffff88003d17000 i8042prt.sys         OK: driver.fffff88003d17000.sys
0xfffff88004c9c000 crashdmp.sys         OK: driver.fffff88004c9c000.sys
0xfffff8800121b000 cdrom.sys            OK: driver.fffff8800121b000.sys
0xfffff88000f3a000 BATTC.SYS            OK: driver.fffff88000f3a000.sys
0xfffff88003d68000 vm3dmp_loader.sys    OK: driver.fffff88003d68000.sys
0xfffff8800428d000 raspptp.sys          OK: driver.fffff8800428d000.sys
0xfffff88000edc000 pci.sys              OK: driver.fffff88000edc000.sys
0xfffff88003edd000 nsiproxy.sys         OK: driver.fffff88003edd000.sys
0xfffff88003e3e000 serial.sys           OK: driver.fffff88003e3e000.sys
0xfffff88000fbf000 PCIIDEX.SYS          OK: driver.fffff88000fbf000.sys
0xfffff8800509f000 tdtcp.sys            OK: driver.fffff8800509f000.sys
0xfffff880051f5000 ad_driver.sys        OK: driver.fffff880051f5000.sys
0xfffff88001400000 CLASSPNP.SYS         OK: driver.fffff88001400000.sys
0xfffff88004243000 ndiswan.sys          OK: driver.fffff88004243000.sys
0xfffff880051b0000 RDPWD.SYS            OK: driver.fffff880051b0000.sys
0xfffff88000cc2000 WDFLDR.SYS           OK: driver.fffff88000cc2000.sys
0xfffff88004384000 NDProxy.SYS          OK: driver.fffff88004384000.sys
0xfffff88003c00000 rasl2tp.sys          OK: driver.fffff88003c00000.sys
0xfffff880011e5000 Msfs.SYS             OK: driver.fffff880011e5000.sys
0xfffff88000f46000 volmgr.sys           OK: driver.fffff88000f46000.sys
0xfffff88004daa000 vmusbmouse.sys       OK: driver.fffff88004daa000.sys
0xfffff88001597000 mup.sys              OK: driver.fffff88001597000.sys
0xfffff88001000000 msrpc.sys            OK: driver.fffff88001000000.sys
0xfffff88003dd7000 CompositeBus.sys     OK: driver.fffff88003dd7000.sys
0xfffff88003ee9000 mssmbios.sys         OK: driver.fffff88003ee9000.sys
0xfffff88004200000 portcls.sys          OK: driver.fffff88004200000.sys
0xfffff8800388c000 bowser.sys           OK: driver.fffff8800388c000.sys
0xfffff8800106d000 Npfs.SYS             OK: driver.fffff8800106d000.sys
0xfffff880040ce000 usbehci.sys          OK: driver.fffff880040ce000.sys
0xfffff88000d6c000 CI.dll               OK: driver.fffff88000d6c000.sys
0xfffff88003e2f000 netbios.sys          OK: driver.fffff88003e2f000.sys
0xfffff88003cf1000 tunnel.sys           OK: driver.fffff88003cf1000.sys
0xfffff88001763000 ksecpkg.sys          OK: driver.fffff88001763000.sys
0xfffff88000cd2000 atapi.sys            OK: driver.fffff88000cd2000.sys
0xfffff88003d4d000 mouclass.sys         OK: driver.fffff88003d4d000.sys
0xfffff88004caa000 dump_storport.sys    OK: driver.fffff88004caa000.sys
0xfffff88003db3000 HDAudBus.sys         OK: driver.fffff88003db3000.sys
0xfffff88004d94000 HIDPARSE.SYS         OK: driver.fffff88004d94000.sys
0xfffff88004272000 raspppoe.sys         OK: driver.fffff88004272000.sys
0xfffff88003ef5000 tdx.sys              OK: driver.fffff88003ef5000.sys
0xfffff88000f31000 compbatt.sys         OK: driver.fffff88000f31000.sys
0xfffff88000e56000 winhv.sys            OK: driver.fffff88000e56000.sys
0xfffff88000fb7000 intelide.sys         OK: driver.fffff88000fb7000.sys
0xfffff88004318000 umbus.sys            OK: driver.fffff88004318000.sys
0xfffff88001200000 ksecdd.sys           OK: driver.fffff88001200000.sys
0xfffff88000cf9000 PSHED.dll            OK: driver.fffff88000cf9000.sys
0xfffff88000f1c000 partmgr.sys          OK: driver.fffff88000f1c000.sys
0xfffff880042d3000 swenum.sys           OK: driver.fffff880042d3000.sys
0xfffff88004c00000 mrxsmb10.sys         OK: driver.fffff88004c00000.sys
0xfffff8800105e000 vmrawdsk.sys         OK: driver.fffff8800105e000.sys
0xfffff88004641000 bthpan.sys           OK: driver.fffff88004641000.sys
0xfffff88004cf0000 monitor.sys          OK: driver.fffff88004cf0000.sys
0xfffff880017f8000 Beep.SYS             OK: driver.fffff880017f8000.sys
0xfffff88003e5b000 wanarp.sys           OK: driver.fffff88003e5b000.sys
0xfffff8800155d000 rdyboost.sys         OK: driver.fffff8800155d000.sys
0xfffff88003f24000 afd.sys              OK: driver.fffff88003f24000.sys
0xfffff88004cfe000 luafv.sys            OK: driver.fffff88004cfe000.sys
0xfffff88001147000 fltmgr.sys           OK: driver.fffff88001147000.sys
0xfffff88004046000 usbuhci.sys          OK: driver.fffff88004046000.sys
0xfffff880047a8000 rfcomm.sys           OK: driver.fffff880047a8000.sys
0xfffff88003e09000 pacer.sys            OK: driver.fffff88003e09000.sys
0xfffff8800146a000 Null.SYS             OK: driver.fffff8800146a000.sys
0xfffff88000f0f000 vdrvroot.sys         OK: driver.fffff88000f0f000.sys
0xfffff88004600000 srvnet.sys           OK: driver.fffff88004600000.sys
0xfffff880041de000 amdppm.sys           OK: driver.fffff880041de000.sys
0xfffff88000d0d000 CLFS.SYS             OK: driver.fffff88000d0d000.sys
0xfffff880050ee000 srv.sys              OK: driver.fffff880050ee000.sys
0xfffff88000fcf000 vmci.sys             OK: driver.fffff88000fcf000.sys
0xfffff88004c4e000 mrxsmb20.sys         OK: driver.fffff88004c4e000.sys
0xfffff880010b0000 lsi_sas.sys          OK: driver.fffff880010b0000.sys
0xfffff88001511000 volsnap.sys          OK: driver.fffff88001511000.sys
0xfffff88000e72000 ACPI.sys             OK: driver.fffff88000e72000.sys
0xfffff8800432a000 usbhub.sys           OK: driver.fffff8800432a000.sys
0xfffff88004053000 USBPORT.SYS          OK: driver.fffff88004053000.sys
0xfffff88004d6d000 hidusb.sys           OK: driver.fffff88004d6d000.sys
0xfffff880050aa000 tssecsrv.sys         OK: driver.fffff880050aa000.sys
0xfffff88004cb4000 dump_LSI_SAS.sys     OK: driver.fffff88004cb4000.sys
0xfffff880041f3000 ndistapi.sys         OK: driver.fffff880041f3000.sys
0xfffff88003e76000 termdd.sys           OK: driver.fffff88003e76000.sys
0xfffff96000090000 win32k.sys           OK: driver.fffff96000090000.sys
0xfffff880017d7000 vmstorfl.sys         OK: driver.fffff880017d7000.sys
0xfffff880011a7000 VIDEOPRT.SYS         OK: driver.fffff880011a7000.sys
0xfffff88004d4e000 usbccgp.sys          OK: driver.fffff88004d4e000.sys
0xfffff88001481000 cng.sys              OK: driver.fffff88001481000.sys
0xfffff88004399000 HdAudio.sys          OK: driver.fffff88004399000.sys
0xfffff880038a9000 mpsdrv.sys           OK: driver.fffff880038a9000.sys
0xfffff88004000000 dxgmms1.sys          OK: driver.fffff88004000000.sys
0xfffff88000f5b000 volmgrx.sys          OK: driver.fffff88000f5b000.sys
0xfffff880040e9000 dxgkrnl.sys          OK: driver.fffff880040e9000.sys
0xfffff8800113c000 amdxata.sys          OK: driver.fffff8800113c000.sys
0xfffff880014f6000 pcw.sys              OK: driver.fffff880014f6000.sys
0xfffff88004d9d000 mouhid.sys           OK: driver.fffff88004d9d000.sys
0xfffff88005000000 spsys.sys            OK: driver.fffff88005000000.sys
0xfffff88003d5c000 serenum.sys          OK: driver.fffff88003d5c000.sys
0xfffff88004661000 tcpipreg.sys         OK: driver.fffff88004661000.sys
0xfffff88004d21000 lltdio.sys           OK: driver.fffff88004d21000.sys
0xfffff88001702000 NETIO.SYS            OK: driver.fffff88001702000.sys
0xfffff880042ae000 rassstp.sys          OK: driver.fffff880042ae000.sys
0xfffff880015e3000 disk.sys             OK: driver.fffff880015e3000.sys
0xfffff88003d44000 vmmouse.sys          OK: driver.fffff88003d44000.sys
0xfffff88001086000 ataport.SYS          OK: driver.fffff88001086000.sys
0xfffff880017e7000 spldr.sys            OK: driver.fffff880017e7000.sys
