#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: vadwalk
# Plugin Description: Walk the VAD tree
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" vadwalk --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
************************************************************************
Pid:      4
Address            Parent             Left               Right              Start              End                Tag 
------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ----
0xfffffa80340cd230 0xfffffa8030e57f48 0xfffffa8031ed45a0 0xfffffa8030e57a30 0x0000000076f10000 0x00000000770aefff Vad 
0xfffffa8031ed45a0 0xfffffa80340cd230 0xfffffa8031ed2f80 0xfffffa80331d0220 0x0000000000080000 0x000000000009ffff Vad 
0xfffffa8031ed2f80 0xfffffa8031ed45a0 0xfffffa8030fa85a0 0xfffffa8031e8baa0 0x0000000000040000 0x000000000005ffff Vad 
0xfffffa8030fa85a0 0xfffffa8031ed2f80 0x0000000000000000 0x0000000000000000 0x0000000000010000 0x0000000000032fff Vad 
0xfffffa8031e8baa0 0xfffffa8031ed2f80 0x0000000000000000 0x0000000000000000 0x0000000000060000 0x000000000007ffff Vad 
0xfffffa80331d0220 0xfffffa8031ed45a0 0xfffffa8031ed4510 0x0000000000000000 0x00000000000c0000 0x00000000000c0fff Vad 
0xfffffa8031ed4510 0xfffffa80331d0220 0x0000000000000000 0x0000000000000000 0x00000000000a0000 0x00000000000bffff Vad 
0xfffffa8030e57a30 0xfffffa80340cd230 0xfffffa8032ba2010 0xfffffa8031ed2b60 0x000000007ffe0000 0x000000007ffeffff Vadl
0xfffffa8032ba2010 0xfffffa8030e57a30 0x0000000000000000 0x0000000000000000 0x00000000770d0000 0x000000007724ffff Vad 
0xfffffa8031ed2b60 0xfffffa8030e57a30 0xfffffa8032479b20 0xfffffa8031ed2e20 0x000007ffff5d0000 0x000007ffff5fffff Vad 
0xfffffa8032479b20 0xfffffa8031ed2b60 0x0000000000000000 0x0000000000000000 0x000007ffff0d0000 0x000007ffff0fffff Vad 
0xfffffa8031ed2e20 0xfffffa8031ed2b60 0x0000000000000000 0x0000000000000000 0x000007ffffad0000 0x000007ffffafffff Vad 
************************************************************************
Pid:    280
Address            Parent             Left               Right              Start              End                Tag 
------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ----
0xfffffa8032829420 0xfffffa8032005ee8 0xfffffa8032829bb0 0xfffffa8032405bf0 0x000000007efe0000 0x000000007ffdffff VadS
0xfffffa8032829bb0 0xfffffa8032829420 0xfffffa8032ea4f90 0xfffffa80327df220 0x0000000000370000 0x000000000046ffff VadS
0xfffffa8032ea4f90 0xfffffa8032829bb0 0xfffffa8032eadc70 0xfffffa80326bd7e0 0x0000000000060000 0x00000000000dffff VadS
0xfffffa8032eadc70 0xfffffa8032ea4f90 0x0000000000000000 0x0000000000000000 0x0000000000010000 0x0000000000010fff Vad 
0xfffffa80326bd7e0 0xfffffa8032ea4f90 0x0000000000000000 0x0000000000000000 0x0000000000100000 0x000000000017ffff VadS
0xfffffa80327df220 0xfffffa8032829bb0 0x0000000000000000 0xfffffa8032405f80 0x0000000048010000 0x000000004802ffff Vad 
0xfffffa8032405f80 0xfffffa80327df220 0x0000000000000000 0x0000000000000000 0x0000000076f10000 0x00000000770aefff Vad 
0xfffffa8032405bf0 0xfffffa8032829420 0xfffffa8032405a70 0xfffffa8032405b50 0x000007fffffb0000 0x000007fffffd2fff Vad 
0xfffffa8032405a70 0xfffffa8032405bf0 0xfffffa80326a66b0 0x0000000000000000 0x000007feff210000 0x000007feff210fff Vad 
0xfffffa80326a66b0 0xfffffa8032405a70 0x0000000000000000 0x0000000000000000 0x000000007ffe0000 0x000000007ffeffff Vadl
0xfffffa8032405b50 0xfffffa8032405bf0 0xfffffa8032ece150 0xfffffa80327e9250 0x000007fffffdd000 0x000007fffffddfff Vadl
0xfffffa8032ece150 0xfffffa8032405b50 0x0000000000000000 0x0000000000000000 0x000007fffffd7000 0x000007fffffd8fff Vadl
0xfffffa80327e9250 0xfffffa8032405b50 0x0000000000000000 0x0000000000000000 0x000007fffffde000 0x000007fffffdffff Vadl
************************************************************************
Pid:    364
Address            Parent             Left               Right              Start              End                Tag 
------------------ ------------------ ------------------ ------------------ ------------------ ------------------ ----
0xfffffa8032f13d80 0xfffffa8032f05f48 0xfffffa80323fdc60 0xfffffa803246b180 0x000000007f0e0000 0x000000007ffdffff VadS
0xfffffa80323fdc60 0xfffffa8032f13d80 0xfffffa803246a850 0xfffffa80330487f0 0x0000000000d20000 0x0000000000d5ffff VadS
0xfffffa803246a850 0xfffffa80323fdc60 0xfffffa8032f10c50 0xfffffa8032542510 0x0000000000590000 0x000000000088bfff Vad 
0xfffffa8032f10c50 0xfffffa803246a850 0xfffffa8032438310 0xfffffa8033209f80 0x0000000000160000 0x000000000016ffff VadS
0xfffffa8032438310 0xfffffa8032f10c50 0xfffffa8031f80be0 0xfffffa803281ae00 0x00000000000c0000 0x00000000000c0fff Vadm
0xfffffa8031f80be0 0xfffffa8032438310 0xfffffa803246d9f0 0xfffffa8032ff0a90 0x00000000000a0000 0x00000000000a0fff Vadm
0xfffffa803246d9f0 0xfffffa8031f80be0 0xfffffa803246a600 0xfffffa80325606a0 0x0000000000080000 0x0000000000086fff Vad 
0xfffffa803246a600 0xfffffa803246d9f0 0x0000000000000000 0x0000000000000000 0x0000000000010000 0x0000000000076fff Vad 
0xfffffa80325606a0 0xfffffa803246d9f0 0x0000000000000000 0x0000000000000000 0x0000000000090000 0x0000000000091fff Vad 
0xfffffa8032ff0a90 0xfffffa8031f80be0 0x0000000000000000 0x0000000000000000 0x00000000000b0000 0x00000000000b1fff Vad 
0xfffffa803281ae00 0xfffffa8032438310 0xfffffa8032a23ba0 0xfffffa803319ea70 0x0000000000110000 0x000000000014ffff VadS
0xfffffa8032a23ba0 0xfffffa803281ae00 0xfffffa80326e0190 0xfffffa8032817490 0x00000000000e0000 0x00000000000e6fff Vad 
0xfffffa80326e0190 0xfffffa8032a23ba0 0x0000000000000000 0x0000000000000000 0x00000000000d0000 0x00000000000dffff Vad 
0xfffffa8032817490 0xfffffa8032a23ba0 0x0000000000000000 0x0000000000000000 0x00000000000f0000 0x0000000000107fff Vad 
0xfffffa803319ea70 0xfffffa803281ae00 0x0000000000000000 0x0000000000000000 0x0000000000150000 0x000000000015ffff Vad 
0xfffffa8033209f80 0xfffffa8032f10c50 0xfffffa8032f06ae0 0xfffffa8032f0aa20 0x00000000002d0000 0x00000000002dffff Vad 
0xfffffa8032f06ae0 0xfffffa8033209f80 0xfffffa8032418420 0xfffffa80331d0960 0x00000000001b0000 0x00000000002affff VadS
0xfffffa8032418420 0xfffffa8032f06ae0 0x0000000000000000 0xfffffa80331cddd0 0x0000000000170000 0x000000000019ffff Vad 
0xfffffa80331cddd0 0xfffffa8032418420 0x0000000000000000 0x0000000000000000 0x00000000001a0000 0x00000000001affff Vad 
0xfffffa80331d0960 0xfffffa8032f06ae0 0xfffffa80331c4340 0x0000000000000000 0x00000000002c0000 0x00000000002cffff Vad 
0xfffffa80331c4340 0xfffffa80331d0960 0x0000000000000000 0x0000000000000000 0x00000000002b0000 0x00000000002bffff Vad 
0xfffffa8032f0aa20 0xfffffa8033209f80 0xfffffa8033250ef0 0xfffffa803246a790 0x0000000000300000 0x00000000003fffff VadS
0xfffffa8033250ef0 0xfffffa8032f0aa20 0x0000000000000000 0xfffffa8032c65aa0 0x00000000002e0000 0x00000000002effff Vad 
0xfffffa8032c65aa0 0xfffffa8033250ef0 0x0000000000000000 0x0000000000000000 0x00000000002f0000 0x00000000002fffff Vad 
0xfffffa803246a790 0xfffffa8032f0aa20 0x0000000000000000 0x0000000000000000 0x0000000000400000 0x0000000000580fff Vadm
0xfffffa8032542510 0xfffffa803246a850 0xfffffa80331a9930 0xfffffa803362e480 0x0000000000a00000 0x0000000000a3ffff VadS
0xfffffa80331a9930 0xfffffa8032542510 0xfffffa803314a090 0xfffffa8033339d70 0x0000000000940000 0x000000000097ffff VadS
0xfffffa803314a090 0xfffffa80331a9930 0xfffffa8032418170 0xfffffa803321a520 0x00000000008f0000 0x000000000092ffff VadS
0xfffffa8032418170 0xfffffa803314a090 0xfffffa80332abce0 0xfffffa80332d6d60 0x00000000008a0000 0x00000000008dffff VadS
0xfffffa80332abce0 0xfffffa8032418170 0x0000000000000000 0x0000000000000000 0x0000000000890000 0x0000000000891fff Vad 
0xfffffa80332d6d60 0xfffffa8032418170 0x0000000000000000 0x0000000000000000 0x00000000008e0000 0x00000000008effff Vad 
0xfffffa803321a520 0xfffffa803314a090 0x0000000000000000 0x0000000000000000 0x0000000000930000 0x000000000093ffff Vad 
0xfffffa8033339d70 0xfffffa80331a9930 0xfffffa803332c6b0 0xfffffa803213f550 0x0000000000990000 0x000000000099ffff Vad 
0xfffffa803332c6b0 0xfffffa8033339d70 0x0000000000000000 0x0000000000000000 0x0000000000980000 0x000000000098ffff Vad 
0xfffffa803213f550 0xfffffa8033339d70 0xfffffa8032438170 0xfffffa8033416d00 0x00000000009e0000 0x00000000009effff Vad 
0xfffffa8032438170 0xfffffa803213f550 0x0000000000000000 0x0000000000000000 0x00000000009a0000 0x00000000009dffff VadS
0xfffffa8033416d00 0xfffffa803213f550 0x0000000000000000 0x0000000000000000 0x00000000009f0000 0x00000000009fffff Vad 
