#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: ssdt
# Plugin Description: Display SSDT entries
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" ssdt --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff80002adf400 with 401 entries
  Entry 0x0000: 0xfffff80002e9ed50 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff80002d3fbb0 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff80002adef40 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff80002d3bb90 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff80002d92580 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff80002d3b200 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff80002d3c9b0 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff80002d23728 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff80002d4b734 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff80002e75830 (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff80002d422d0 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff80002d2cff8 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff80002d40710 (NtClose) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff80002d282dc (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff80002efead0 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff80002d4df04 (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff80002d47d50 (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff80002d90f60 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff80002d62da4 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff80002d434b0 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff80002d41460 (NtQueryValueKey) owned by ntoskrnl.exe
  Entry 0x0015: 0xfffff80002ee16e0 (NtAllocateVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0016: 0xfffff80002f17720 (NtQueryInformationProcess) owned by ntoskrnl.exe
  Entry 0x0017: 0xfffff80002d1670c (NtWaitForMultipleObjects32) owned by ntoskrnl.exe
  Entry 0x0018: 0xfffff80002efca90 (NtWriteFileGather) owned by ntoskrnl.exe
  Entry 0x0019: 0xfffff80002eee240 (NtSetInformationProcess) owned by ntoskrnl.exe
  Entry 0x001a: 0xfffff80002d5f7f8 (NtCreateKey) owned by ntoskrnl.exe
  Entry 0x001b: 0xfffff80002a764c0 (NtFreeVirtualMemory) owned by ntoskrnl.exe
  Entry 0x001c: 0xfffff80002ed9300 (NtImpersonateClientOfPort) owned by ntoskrnl.exe
  Entry 0x001d: 0xfffff80002d49dec (NtReleaseMutant) owned by ntoskrnl.exe
  Entry 0x001e: 0xfffff80002ec7cd0 (NtQueryInformationToken) owned by ntoskrnl.exe
  Entry 0x001f: 0xfffff80002d31660 (NtRequestWaitReplyPort) owned by ntoskrnl.exe
  Entry 0x0020: 0xfffff80002f0d200 (NtQueryVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0021: 0xfffff80002d2c844 (NtOpenThreadToken) owned by ntoskrnl.exe
  Entry 0x0022: 0xfffff80002d5037c (NtQueryInformationThread) owned by ntoskrnl.exe
  Entry 0x0023: 0xfffff80002d607b0 (NtOpenProcess) owned by ntoskrnl.exe
  Entry 0x0024: 0xfffff80002f19e80 (NtSetInformationFile) owned by ntoskrnl.exe
  Entry 0x0025: 0xfffff80002d2e2b0 (NtMapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0026: 0xfffff80002d5b88c (NtAccessCheckAndAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0027: 0xfffff80002d2500c (NtUnmapViewOfSection) owned by ntoskrnl.exe
  Entry 0x0028: 0xfffff80002d46010 (NtReplyWaitReceivePortEx) owned by ntoskrnl.exe
  Entry 0x0029: 0xfffff80002ed5400 (NtTerminateProcess) owned by ntoskrnl.exe
  Entry 0x002a: 0xfffff80002ea4f30 (NtSetEventBoostPriority) owned by ntoskrnl.exe
  Entry 0x002b: 0xfffff80002d89c44 (NtReadFileScatter) owned by ntoskrnl.exe
  Entry 0x002c: 0xfffff80002d33f10 (NtOpenThreadTokenEx) owned by ntoskrnl.exe
  Entry 0x002d: 0xfffff80002d2a1b0 (NtOpenProcessTokenEx) owned by ntoskrnl.exe
  Entry 0x002e: 0xfffff80002d91b78 (NtQueryPerformanceCounter) owned by ntoskrnl.exe
  Entry 0x002f: 0xfffff80002d2e9b0 (NtEnumerateKey) owned by ntoskrnl.exe
  Entry 0x0030: 0xfffff80002d91cb4 (NtOpenFile) owned by ntoskrnl.exe
  Entry 0x0031: 0xfffff80002d55424 (NtDelayExecution) owned by ntoskrnl.exe
  Entry 0x0032: 0xfffff80002d2c580 (NtQueryDirectoryFile) owned by ntoskrnl.exe
  Entry 0x0033: 0xfffff80002d91e48 (NtQuerySystemInformation) owned by ntoskrnl.exe
  Entry 0x0034: 0xfffff80002d53044 (NtOpenSection) owned by ntoskrnl.exe
  Entry 0x0035: 0xfffff80002ea4ad0 (NtQueryTimer) owned by ntoskrnl.exe
  Entry 0x0036: 0xfffff80002d91434 (NtFsControlFile) owned by ntoskrnl.exe
  Entry 0x0037: 0xfffff80002d208ac (NtWriteVirtualMemory) owned by ntoskrnl.exe
  Entry 0x0038: 0xfffff80002d90c3c (NtCloseObjectAuditAlarm) owned by ntoskrnl.exe
  Entry 0x0039: 0xfffff80002d48d60 (NtDuplicateObject) owned by ntoskrnl.exe
