#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: ldrmodules
# Plugin Description: Detect unlinked DLLs
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" ldrmodules --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Pid      Process              Base               InLoad InInit InMem MappedPath
-------- -------------------- ------------------ ------ ------ ----- ----------
       4 System               0x0000000076f10000 False  False  False \Windows\System32\ntdll.dll
       4 System               0x00000000770d0000 False  False  False \Windows\SysWOW64\ntdll.dll
     280 smss.exe             0x0000000048010000 True   False  True  \Windows\System32\smss.exe
     280 smss.exe             0x0000000076f10000 True   True   True  \Windows\System32\ntdll.dll
     364 csrss.exe            0x00000000000b0000 False  False  False \Windows\Fonts\vgasys.fon
     364 csrss.exe            0x0000000002190000 False  False  False \Windows\Fonts\vgaoem.fon
     364 csrss.exe            0x0000000002530000 False  False  False \Windows\Fonts\cga80woa.fon
     364 csrss.exe            0x000007fefcba0000 True   True   True  \Windows\System32\basesrv.dll
     364 csrss.exe            0x000007feff120000 True   True   True  \Windows\System32\advapi32.dll
     364 csrss.exe            0x00000000021b0000 False  False  False \Windows\Fonts\cga40woa.fon
     364 csrss.exe            0x000007fefcb50000 True   True   True  \Windows\System32\sxssrv.dll
     364 csrss.exe            0x0000000076df0000 True   True   True  \Windows\System32\kernel32.dll
     364 csrss.exe            0x000007fefcd80000 True   True   True  \Windows\System32\KernelBase.dll
     364 csrss.exe            0x00000000021a0000 False  False  False \Windows\Fonts\dosapp.fon
     364 csrss.exe            0x000007fefe1e0000 True   True   True  \Windows\System32\usp10.dll
     364 csrss.exe            0x000007fefd5e0000 True   True   True  \Windows\System32\lpk.dll
     364 csrss.exe            0x000007fefca20000 True   True   True  \Windows\System32\cryptbase.dll
     364 csrss.exe            0x0000000076f10000 True   True   True  \Windows\System32\ntdll.dll
     364 csrss.exe            0x0000000002540000 False  False  False \Windows\Fonts\ega40woa.fon
     364 csrss.exe            0x000007fefcb60000 True   True   True  \Windows\System32\winsrv.dll
     364 csrss.exe            0x00000000499b0000 True   False  True  \Windows\System32\csrss.exe
     364 csrss.exe            0x000007fefcbc0000 True   True   True  \Windows\System32\csrsrv.dll
     364 csrss.exe            0x000007fefd5f0000 True   True   True  \Windows\System32\rpcrt4.dll
     364 csrss.exe            0x000007fefca30000 True   True   True  \Windows\System32\sxs.dll
     364 csrss.exe            0x000007fefd3c0000 True   True   True  \Windows\System32\sechost.dll
     364 csrss.exe            0x000007feff060000 True   True   True  \Windows\System32\gdi32.dll
     364 csrss.exe            0x0000000076cf0000 True   True   True  \Windows\System32\user32.dll
     364 csrss.exe            0x000007fefd720000 True   True   True  \Windows\System32\msvcrt.dll
     408 wininit.exe          0x00000000001d0000 False  False  False \Windows\System32\en-US\user32.dll.mui
     408 wininit.exe          0x0000000076cf0000 True   True   True  \Windows\System32\user32.dll
     408 wininit.exe          0x0000000076f10000 True   True   True  \Windows\System32\ntdll.dll
     408 wininit.exe          0x000007fefd3c0000 True   True   True  \Windows\System32\sechost.dll
     408 wininit.exe          0x000007feff120000 True   True   True  \Windows\System32\advapi32.dll
     408 wininit.exe          0x000007fefcb30000 True   True   True  \Windows\System32\RpcRtRemote.dll
     408 wininit.exe          0x0000000076df0000 True   True   True  \Windows\System32\kernel32.dll
     408 wininit.exe          0x000007fefc980000 True   True   True  \Windows\System32\secur32.dll
     408 wininit.exe          0x000007fefd5e0000 True   True   True  \Windows\System32\lpk.dll
     408 wininit.exe          0x000007fefb290000 True   True   True  \Windows\System32\WSHTCPIP.DLL
     408 wininit.exe          0x000007fefe1e0000 True   True   True  \Windows\System32\usp10.dll
     408 wininit.exe          0x000007fefc010000 True   True   True  \Windows\System32\wship6.dll
     408 wininit.exe          0x000007fefcd80000 True   True   True  \Windows\System32\KernelBase.dll
     408 wininit.exe          0x000007fefca20000 True   True   True  \Windows\System32\cryptbase.dll
     408 wininit.exe          0x000007fefbca0000 True   True   True  \Windows\System32\credssp.dll
     408 wininit.exe          0x000007feff0d0000 True   True   True  \Windows\System32\ws2_32.dll
     408 wininit.exe          0x000007fefd720000 True   True   True  \Windows\System32\msvcrt.dll
     408 wininit.exe          0x00000000ff7f0000 True   False  True  \Windows\System32\wininit.exe
     408 wininit.exe          0x000007fefcfa0000 True   True   True  \Windows\System32\imm32.dll
     408 wininit.exe          0x000007fefd7c0000 True   True   True  \Windows\System32\nsi.dll
     408 wininit.exe          0x000007fefcad0000 True   True   True  \Windows\System32\apphelp.dll
     408 wininit.exe          0x000007fefcbf0000 True   True   True  \Windows\System32\profapi.dll
     408 wininit.exe          0x000007fefc020000 True   True   True  \Windows\System32\mswsock.dll
     408 wininit.exe          0x000007fefd5f0000 True   True   True  \Windows\System32\rpcrt4.dll
     408 wininit.exe          0x000007fefda50000 True   True   True  \Windows\System32\msctf.dll
     408 wininit.exe          0x000007feff060000 True   True   True  \Windows\System32\gdi32.dll
     408 wininit.exe          0x000007fefc9b0000 True   True   True  \Windows\System32\sspicli.dll
     440 csrss.exe            0x0000000000230000 False  False  False \Windows\Fonts\vgasys.fon
     440 csrss.exe            0x0000000002b10000 False  False  False \Windows\Fonts\sserife.fon
     440 csrss.exe            0x0000000076cf0000 True   True   True  \Windows\System32\user32.dll
     440 csrss.exe            0x000007fefd720000 True   True   True  \Windows\System32\msvcrt.dll
     440 csrss.exe            0x000007fefd5e0000 True   True   True  \Windows\System32\lpk.dll
     440 csrss.exe            0x000007fefcbc0000 True   True   True  \Windows\System32\csrsrv.dll
     440 csrss.exe            0x000007fefd5f0000 True   True   True  \Windows\System32\rpcrt4.dll
     440 csrss.exe            0x000007fefcba0000 True   True   True  \Windows\System32\basesrv.dll
     440 csrss.exe            0x000007fefca30000 True   True   True  \Windows\System32\sxs.dll
     440 csrss.exe            0x000007fefca20000 True   True   True  \Windows\System32\cryptbase.dll
     440 csrss.exe            0x00000000499b0000 True   False  True  \Windows\System32\csrss.exe
     440 csrss.exe            0x000007feff060000 True   True   True  \Windows\System32\gdi32.dll
     440 csrss.exe            0x000007fefcb50000 True   True   True  \Windows\System32\sxssrv.dll
     440 csrss.exe            0x000007fefcb60000 True   True   True  \Windows\System32\winsrv.dll
     440 csrss.exe            0x000007fefe1e0000 True   True   True  \Windows\System32\usp10.dll
     440 csrss.exe            0x000007fefcd80000 True   True   True  \Windows\System32\KernelBase.dll
     440 csrss.exe            0x0000000076f10000 True   True   True  \Windows\System32\ntdll.dll
     440 csrss.exe            0x0000000076df0000 True   True   True  \Windows\System32\kernel32.dll
     472 services.exe         0x0000000076cf0000 True   True   True  \Windows\System32\user32.dll
     472 services.exe         0x0000000076f10000 True   True   True  \Windows\System32\ntdll.dll
     472 services.exe         0x0000000076df0000 True   True   True  \Windows\System32\kernel32.dll
