#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# MD5: 224f93209cbea29e862890f30dfa762d	 SHA-256: 18e9007993c45f813dd5bd23b6bf6ad703d3e6ac70effd9c47a310a8443c7b8a	 
#
# Plugin Details
# ======================
# Plugin Name: handles
# Plugin Description: Print list of open handles for each process
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" handles --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
Offset(V)             Pid             Handle             Access Type             Details
------------------ ------ ------------------ ------------------ ---------------- -------
0xfffffa8030e57b00      4                0x4           0x1fffff Process          System(4)
0xfffff8a000058190      4                0x8            0x2001f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\HIVELIST
0xfffff8a000008060      4                0xc            0xf000f Directory        GLOBAL??
0xfffff8a00001aca0      4               0x10                0x0 Key              
0xfffff8a00000fca0      4               0x14            0x20019 Key              MACHINE\HARDWARE\DESCRIPTION\SYSTEM\MULTIFUNCTIONADAPTER
0xfffff8a00008e470      4               0x18            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\SESSION MANAGER\MEMORY MANAGEMENT\PREFETCHPARAMETERS
0xfffffa8030ee0970      4               0x20           0x1f0001 ALPC Port        PowerMonitorPort
0xfffffa8030ee0070      4               0x24           0x1f0001 ALPC Port        PowerPort
0xfffff8a00008d360      4               0x28            0x2001f Key              MACHINE\SYSTEM\SETUP
0xfffffa8030f537d0      4               0x2c           0x1fffff Thread           TID 4 PID 821377912
0xfffff8a00008a110      4               0x30            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001
0xfffff8a00008b9e0      4               0x34            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\ENUM
0xfffff8a00008bae0      4               0x38            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS
0xfffff8a0000a1b80      4               0x3c            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES
0xfffffa8033507bc0      4               0x40           0x12008b File             \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-RMS-MSIPC%4Debug.etl
0xfffff8a00007bbf0      4               0x44            0x20019 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\WMI\SECURITY
0xfffff8a0001ed040      4               0x48                0xe Token            
0xfffffa8032005aa0      4               0x4c               0x2a Process          smss.exe(280)
0xfffffa8032550df0      4               0x50           0x120116 File             \Device\Mup
0xfffffa803281f6e0      4               0x54           0x1f0001 ALPC Port        SeRmCommandPort
0xfffff8a000abaac0      4               0x58            0xf003f Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\CLASS\{4D36E96C-E325-11CE-BFC1-08002BE10318}\0000\MIXERSETTINGS
0xfffff8a000144870      4               0x5c               0x11 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
0xfffffa8030f5f6b0      4               0x60            0x10003 File             \Device\HarddiskVolume1\Windows\System32\config\RegBack\SAM
0xfffffa8032ead7c0      4               0x64           0x12019f File             \Device\HarddiskVolume1\Windows\System32\config\TxR\{016888cd-6c6f-11de-8d1d-001e0bcde3ec}.TMContainer00000000000000000002.regtrans-ms
0xfffff8a0003ece20      4               0x68               0x10 Key              MACHINE\SYSTEM\CONTROLSET001\CONTROL\LSA
0xfffffa8033443bc0      4               0x6c           0x12008b File             \Device\HarddiskVolume1\Windows\System32\winevt\Logs\DebugChannel.etl
0xfffffa8032872e60      4               0x70            0x10003 File             \Device\HarddiskVolume1\Windows\System32\config\RegBack\SECURITY
0xfffffa803283a650      4               0x74                0x3 File             \Device\HarddiskVolume1\Windows\System32\config\SYSTEM.LOG2
0xfffffa803281d6e0      4               0x78          0x2000003 File             \Device\HarddiskVolume1\Windows\System32\config\DEFAULT.LOG2
0xfffffa803282fa10      4               0x7c          0x2020003 File             \Device\HarddiskVolume1\Windows\System32\config\SOFTWARE
0xfffffa8032830f20      4               0x80            0x20003 File             \Device\HarddiskVolume1\Windows\System32\config\SYSTEM
0xfffffa8032830300      4               0x84          0x2020003 File             \Device\HarddiskVolume1\Windows\System32\config\SECURITY
0xfffffa803283ba20      4               0x88          0x2020003 File             \Device\HarddiskVolume1\Windows\System32\config\SAM
0xfffffa803283e5f0      4               0x8c          0x2000003 File             \Device\HarddiskVolume1\Windows\System32\config\SAM.LOG1
0xfffffa803283bdc0      4               0x90          0x2000003 File             \Device\HarddiskVolume1\Windows\System32\config\SOFTWARE.LOG1
0xfffffa803283e780      4               0x94          0x2000003 File             \Device\HarddiskVolume1\Windows\System32\config\SECURITY.LOG1
0xfffff8a005a382c0      4               0x98                0xb Key              MACHINE\SYSTEM\CONTROLSET001\SERVICES\NDPROXY
0xfffffa8034496480      4               0x9c           0x120089 File             \Device\HarddiskVolume1\System Volume Information\{3808876b-c176-4e48-b7ae-04046e6cc752}
0xfffffa8033a75050      4               0xa0           0x12007f TmRm             
0xfffffa80329d3f20      4               0xa4           0x120089 File             \Device\HarddiskVolume1\System Volume Information\{0f44ce4c-8349-11ea-9feb-001a7dda710a}{3808876b-c176-4e48-b7ae-04046e6cc752}
0xfffffa8032841bb0      4               0xa8          0x2000003 File             \Device\HarddiskVolume1\Windows\System32\config\SAM.LOG2
0xfffffa80339fa540      4               0xac            0xf003f TmTm             
0xfffffa8033ee2c70      4               0xb0           0x1f007f TmRm             
0xfffffa80339fa420      4               0xb4           0x12019f File             \Device\clfsKtmLog
0xfffffa80341d84c0      4               0xb8           0x13019f File             \Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
0xfffffa8033a75880      4               0xbc           0x12019f File             \Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
0xfffffa8032833b60      4               0xc0           0x13019f File             \Device\clfs\Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLog
0xfffffa8033f3b7f0      4               0xc4           0x12019f File             \Device\HarddiskVolume1\$Extend\$RmMetadata\$TxfLog\$TxfLogContainer00000000000000000008
0xfffffa80339faab0      4               0xc8                0x1 File             \Device\HarddiskVolume1
