#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: MemLabs Lab 1
# Investigation Date: 2022-01-16-0854:41
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.111
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-08-0433:36	 Last Accessed: 2022-01-08-0433:36	 Last Modified: 2021-02-28-2153:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw
# File Name: MemoryDump_Lab1.raw	 File Size: 1.07 GBs	 Creation Date: 2022-01-16-0853:49	 Last Accessed: 2022-01-16-0853:50	 Last Modified: 2019-12-11-0838:17	 
# MD5: b9fec1a443907d870cb32b048bda9380	 SHA-256: 88e708413898c98351d1a5a221799fc34460dfecb20e482ca5247b0b113b8cf2	 
#
# Plugin Details
# ======================
# Plugin Name: ssdt
# Plugin Description: Display SSDT entries
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\MemoryDump_Lab1.raw" ssdt --profile=Win7SP1x64
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
[x64] Gathering all referenced SSDTs from KeAddSystemServiceTable...
Finding appropriate address space for tables...
SSDT[0] at fffff800026a0300 with 401 entries
  Entry 0x0000: 0xfffff80002aadca0 (NtMapUserPhysicalPagesScatter) owned by ntoskrnl.exe
  Entry 0x0001: 0xfffff800029958c0 (NtWaitForSingleObject) owned by ntoskrnl.exe
  Entry 0x0002: 0xfffff800026971a0 (NtCallbackReturn) owned by ntoskrnl.exe
  Entry 0x0003: 0xfffff80002988a80 (NtReadFile) owned by ntoskrnl.exe
  Entry 0x0004: 0xfffff800029ba7a0 (NtDeviceIoControlFile) owned by ntoskrnl.exe
  Entry 0x0005: 0xfffff800029b19a0 (NtWriteFile) owned by ntoskrnl.exe
  Entry 0x0006: 0xfffff8000295bc90 (NtRemoveIoCompletion) owned by ntoskrnl.exe
  Entry 0x0007: 0xfffff80002955220 (NtReleaseSemaphore) owned by ntoskrnl.exe
  Entry 0x0008: 0xfffff800029b2fc4 (NtReplyWaitReceivePort) owned by ntoskrnl.exe
  Entry 0x0009: 0xfffff80002a7da40 (NtReplyPort) owned by ntoskrnl.exe
  Entry 0x000a: 0xfffff80002968770 (NtSetInformationThread) owned by ntoskrnl.exe
  Entry 0x000b: 0xfffff80002988010 (NtSetEvent) owned by ntoskrnl.exe
  Entry 0x000c: 0xfffff80002996b10 (NtClose) owned by ntoskrnl.exe
  Entry 0x000d: 0xfffff80002980530 (NtQueryObject) owned by ntoskrnl.exe
  Entry 0x000e: 0xfffff8000297d360 (NtQueryInformationFile) owned by ntoskrnl.exe
  Entry 0x000f: 0xfffff80002979910 (NtOpenKey) owned by ntoskrnl.exe
  Entry 0x0010: 0xfffff8000297f760 (NtEnumerateValueKey) owned by ntoskrnl.exe
  Entry 0x0011: 0xfffff80002991b60 (NtFindAtom) owned by ntoskrnl.exe
  Entry 0x0012: 0xfffff8000294d350 (NtQueryDefaultLocale) owned by ntoskrnl.exe
  Entry 0x0013: 0xfffff8000296f2e0 (NtQueryKey) owned by ntoskrnl.exe
  Entry 0x0014: 0xfffff800029704d0 (NtQueryValueKey) owned by ntoskrnl.exe
