#########################################################################################################################################################################################################################################
# Investigation Details
# ======================
# Investigator Name: Solomon Sonya
# Investigation Description: Magnet Virtual Summit 2020 CTF - Memory
# Investigation Date: 2022-01-17-2008:58
#
# Analysis Framework
# ======================
# Analysis Framework Name: Xavier Framework
# Analysis Framework Version: 2.114
#
# Memory Analysis Binary
# ======================
# File Name: vol_2.6.exe	 File Size: 15.79 MBs	 Creation Date: 2022-01-16-1019:29	 Last Accessed: 2022-01-17-1948:58	 Last Modified: 2021-02-28-2253:29	 
# MD5: 2fc05486a3fe93cef213cc37748bf556	 SHA-256: 672a00461ffb8d59536c86192450b66d552e67809fc8584d1792b42b22c5f4e1	 
#
# Analysis Image Details
# ======================
# Memory Image Path: C:\xavier\xavier_framework\import\memory_image\memdump.mem
# File Name: memdump.mem	 File Size: 5.37 GBs	 Creation Date: 2022-01-17-2008:08	 Last Accessed: 2022-01-17-2008:13	 Last Modified: 2021-10-14-2125:48	 
# 
#
# Plugin Details
# ======================
# Plugin Name: impscan
# Plugin Description: Scan for calls to imported functions
#
# Execution Details
# ======================
# Execution Command: "C:\xavier\xavier_framework\import\memory_analysis\vol_2.6.exe" -f "C:\xavier\xavier_framework\import\memory_image\memdump.mem" --profile=Win7SP1x64 impscan -v -p 2848
#########################################################################################################################################################################################################################################


Volatility Foundation Volatility Framework 2.6
IAT                Call               Module               Function
------------------ ------------------ -------------------- --------
0x0000000145b9bff8 0x000007fef021c14c ffmpeg.dll           av_buffer_create
0x0000000145b9c000 0x000007fef021c37b ffmpeg.dll           av_buffer_get_opaque
0x0000000145b9c008 0x000007fef021cf9b ffmpeg.dll           av_dict_get
0x0000000145b9c010 0x000007fef021d087 ffmpeg.dll           av_dict_set
0x0000000145b9c018 0x000007fef0220235 ffmpeg.dll           av_frame_alloc
0x0000000145b9c020 0x000007fef0220319 ffmpeg.dll           av_frame_free
0x0000000145b9c028 0x000007fef0220347 ffmpeg.dll           av_frame_unref
0x0000000145b9c030 0x000007fef02219bd ffmpeg.dll           av_free
0x0000000145b9c038 0x000007fef02250d9 ffmpeg.dll           av_get_bytes_per_sample
0x0000000145b9c040 0x000007fef021a8a5 ffmpeg.dll           av_get_cpu_flags
0x0000000145b9c048 0x000007fef021b0a4 ffmpeg.dll           av_image_check_size
0x0000000145b9c050 0x000007fef01d791c ffmpeg.dll           av_init_packet
0x0000000145b9c058 0x000007fef022145a ffmpeg.dll           av_log_set_level
0x0000000145b9c060 0x000007fef02218f0 ffmpeg.dll           av_malloc
0x0000000145b9c068 0x000007fef02218e8 ffmpeg.dll           av_max_alloc
0x0000000145b9c070 0x000007fef01d79ec ffmpeg.dll           av_new_packet
0x0000000145b9c078 0x000007fef01d7f70 ffmpeg.dll           av_packet_copy_props
0x0000000145b9c080 0x000007fef01d7d56 ffmpeg.dll           av_packet_get_side_data
0x0000000145b9c088 0x000007fef01d7973 ffmpeg.dll           av_packet_unref
0x0000000145b9c090 0x000007fef01f460d ffmpeg.dll           av_read_frame
0x0000000145b9c098 0x000007fef0221741 ffmpeg.dll           av_rescale_q
0x0000000145b9c0a0 0x000007fef0225110 ffmpeg.dll           av_samples_get_buffer_size
0x0000000145b9c0a8 0x000007fef01f5d34 ffmpeg.dll           av_seek_frame
0x0000000145b9c0b0 0x000007fef021dd98 ffmpeg.dll           av_strerror
0x0000000145b9c0b8 0x000007fef01d4c20 ffmpeg.dll           avcodec_align_dimensions
0x0000000145b9c0c0 0x000007fef01e8b32 ffmpeg.dll           avcodec_alloc_context3
0x0000000145b9c0c8 0x000007fef01d908c ffmpeg.dll           avcodec_descriptor_get
0x0000000145b9c0d0 0x000007fef01d11cc ffmpeg.dll           avcodec_find_decoder
0x0000000145b9c0d8 0x000007fef01dd4d0 ffmpeg.dll           avcodec_flush_buffers
0x0000000145b9c0e0 0x000007fef01e8b70 ffmpeg.dll           avcodec_free_context
0x0000000145b9c0e8 0x000007fef01d4ee3 ffmpeg.dll           avcodec_open2
0x0000000145b9c0f0 0x000007fef01d76ea ffmpeg.dll           avcodec_parameters_to_context
0x0000000145b9c0f8 0x000007fef01dbbcf ffmpeg.dll           avcodec_receive_frame
0x0000000145b9c100 0x000007fef01db338 ffmpeg.dll           avcodec_send_packet
0x0000000145b9c108 0x000007fef01f2d84 ffmpeg.dll           avformat_alloc_context
0x0000000145b9c110 0x000007fef01f950e ffmpeg.dll           avformat_close_input
0x0000000145b9c118 0x000007fef01f6dd0 ffmpeg.dll           avformat_find_stream_info
0x0000000145b9c120 0x000007fef01f39a5 ffmpeg.dll           avformat_free_context
0x0000000145b9c128 0x000007fef01f3366 ffmpeg.dll           avformat_open_input
0x0000000145b9c130 0x000007fef01fbf4c ffmpeg.dll           avio_alloc_context
0x0000000145b9c140 0x000007fefc6866dc COMCTL32.dll         DefSubclassProc
0x0000000145b9c148 0x000007fefc687ee0 COMCTL32.dll         InitCommonControlsEx
0x0000000145b9c150 0x000007fefc686608 COMCTL32.dll         RemoveWindowSubclass
0x0000000145b9c158 0x000007fefc686508 COMCTL32.dll         SetWindowSubclass
0x0000000145b9c160 0x000007fefc6ceb14 COMCTL32.dll         TaskDialogIndirect
0x0000000145b9c170 0x000007fef0deee48 UIAutomationCore.DLL UiaClientsAreListening
0x0000000145b9c178 0x000007fef0ddb140 UIAutomationCore.DLL UiaGetReservedMixedAttributeValue
0x0000000145b9c180 0x000007fef0ddb120 UIAutomationCore.DLL UiaGetReservedNotSupportedValue
0x0000000145b9c188 0x000007fef0dd2980 UIAutomationCore.DLL UiaHostProviderFromHwnd
0x0000000145b9c190 0x000007fef0deecf8 UIAutomationCore.DLL UiaRaiseAutomationEvent
0x0000000145b9c198 0x000007fef0deeba0 UIAutomationCore.DLL UiaRaiseAutomationPropertyChangedEvent
0x0000000145b9c1a0 0x000007fef0dd9500 UIAutomationCore.DLL UiaRaiseStructureChangedEvent
0x0000000145b9c1a8 0x000007fef0dd2dec UIAutomationCore.DLL UiaReturnRawElementProvider
0x0000000145b9c1b8 0x000007fefa5011b4 WTSAPI32.dll         WTSFreeMemory
0x0000000145b9c1c0 0x000007fefa50160c WTSAPI32.dll         WTSQuerySessionInformationW
0x0000000145b9c1c8 0x000007fefa501d00 WTSAPI32.dll         WTSRegisterSessionNotification
0x0000000145b9c1d0 0x000007fefa501e30 WTSAPI32.dll         WTSUnRegisterSessionNotification
0x0000000145b9c1e0 0x000007feff0893f0 GDI32.dll            AddFontMemResourceEx
0x0000000145b9c1e8 0x000007feff0995c4 GDI32.dll            BeginPath
0x0000000145b9c1f0 0x000007feff0623a0 GDI32.dll            BitBlt
0x0000000145b9c1f8 0x000007feff085038 GDI32.dll            CancelDC
